result link,status-date
https://patents.google.com/patent/US10081424B2/en,Expired
https://patents.google.com/patent/JP5960139B2/en,Active (Exp. 2031-8-02)
https://patents.google.com/patent/US20170072755A1/en,Active (Exp. 2023-09-30)
https://patents.google.com/patent/US6457670B1/en,Expired
https://patents.google.com/patent/US9776716B2/en,Expired
https://patents.google.com/patent/US6745977B1/en,Expired
https://patents.google.com/patent/US10518877B2/en,Active (Exp. 2034-10-06)
https://patents.google.com/patent/US9669926B2/en,Expired
https://patents.google.com/patent/US9527587B2/en,Expired
https://patents.google.com/patent/US9527586B2/en,Expired
https://patents.google.com/patent/USD843305S1/en,Active (Exp. 2034-03-19)
https://patents.google.com/patent/US9810789B2/en,Expired
https://patents.google.com/patent/US20170309191A1/en,Abandoned
https://patents.google.com/patent/US20160114887A1/en,Expired
https://patents.google.com/patent/USD844537S1/en,Active (Exp. 2034-04-02)
https://patents.google.com/patent/USD868627S1/en,Active (Exp. 2034-12-03)
https://patents.google.com/patent/USD843304S1/en,Active (Exp. 2034-03-19)
https://patents.google.com/patent/US9567074B2/en,Expired
https://patents.google.com/patent/US7938358B2/en,Active (Exp. 2030-01-09)
https://patents.google.com/patent/US20180257448A1/en,Abandoned
https://patents.google.com/patent/US11014418B2/en,Active (Exp. 2034-03-14)
https://patents.google.com/patent/CN108910056A/en,Pending
https://patents.google.com/patent/US20210206483A1/en,Pending
